Consumer_Key,Consent_Event_Key,Data_Collection_Type,Consent_Sub_Level,OpCo,Legal_Text,Consent_Date,Data_Use_Purpose,Consent_Status,Data_Use_Channel
b21d32b623b86e436dfd785833e083be376ceb4b4e98ff1da93a46366f04fcb6,59b83e0d5e157617110fbb81155236c7288be8d2374d046603f52a2ed8be394c,First Party,,ES001,,2022-02-10T11:04:07,Marketing,Opt_in,Omnichannel
62b2940eb7362f36fdc9dc2f1046d5a90edae84aa176062c1b8033636ce93866,d91526490f5ffb1f0a6067be7bb23eed2b9eb58f7b0ca5b953f5cc5e954f5667,First Party,,ES001,,2022-01-31T18:24:12,Marketing,Opt_in,Omnichannel
dfd1d36296d412de53e9fef5784039db2db81166ad8da3b8a1f4d0bfa289c819,d5b1179dc0d7a6ffa8ee65263c06009fef9b43ccf687b0eebd18bc88aad90879,First Party,,ES001,,2021-11-04T19:33:14,Marketing,Opt_in,Omnichannel
9412ef86bc6702cd267dc1a01dd4b358aa99341c6d66221939bfe76b2b7b09ed,73ef14726cc30134954fbc5d4de1c678b99bd48bf0e7f59bf8871af3eabf8439,First Party,,ES001,,2021-11-04T10:57:55,Marketing,Opt_out,Omnichannel
1d546f90e5eff57cf37ea570d6951cab6123e7fee1454a8f3c8a80854cfb8480,4dd9debdd8f6458534cea21ff6e063439f0d9b5eb7b5e839e4a5ff226c8454ff,First Party,,ES001,,2022-01-31T12:34:55,Marketing,Opt_in,Omnichannel
093b77140291066bf5513eb23d2fd074f6627121cd33013d74f3c3f8ddea9103,29abf8d81f2847ddcb677f0988150e4be775ef54709deb7624ba72b09b8ec0a6,First Party,,ES001,,2022-02-15T18:30:13,Marketing,Opt_out,Omnichannel
eeebb7bd78bad9ad746ec15886f35a02d62f84a5d847cfa3642a530e8a3125cb,4267c01de21f10499f69ca915d8a4271f269f868222eacc2917ccf47674bebed,First Party,,ES001,,2021-11-08T14:33:57,Marketing,Opt_out,Omnichannel
a8764b288eda8ef2622d602a0a0f812026d3e575401a50562df5ee777b232c7e,442501d3aad8b82844cfb51ca332aab0e7540d762c8ec6fc791effc2f6501283,First Party,,ES001,,2021-11-13T13:53:05,Marketing,Opt_in,Omnichannel
885b769552e4b2b3dbfc75f35f8391ea12183e8895faea10e96303054d1027b4,99f294d74ca7be525abf1eed83855b7277c392183265f349511877e5b7307038,First Party,,ES001,,2021-11-04T12:52:51,Marketing,Opt_out,Omnichannel
29331465d4ccf66fb8c5c761eb22485c8418eccb1de5734afbd737af6a78e8b9,f3d4c5165f5b8bc2e2cb6b93437349b82334e1b69c9ca7c53ec2d300e1f85d76,First Party,,ES001,,2022-02-28T10:05:23,Marketing,Opt_in,Omnichannel
